Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description,Ref-X(mm),Ref-Y(mm),Pad-X(mm),Pad-Y(mm)
R5,100K 1%,TopLayer,R0402_L,33.1724mm,64.5346mm,270,贴片电阻,33.1724mm,64.5346mm,33.1724mm,64.9596mm
R4,13.7K 1%,TopLayer,R0402_L,1.8796mm,42.5010mm,270,贴片电阻,1.8796mm,42.5010mm,1.8796mm,42.9260mm
R3,66.5K 1%,TopLayer,R0402_L,34.2392mm,73.8818mm,90,贴片电阻,34.2392mm,73.8818mm,34.2392mm,73.4568mm
R2,100K 1%,TopLayer,R0402_L,2.9464mm,42.5074mm,90,贴片电阻,2.9464mm,42.5074mm,2.9464mm,42.0824mm
R1,100K 1%,TopLayer,R0402_L,33.1724mm,73.8818mm,270,贴片电阻,33.1724mm,73.8818mm,33.1724mm,74.3068mm
L6,4.7uH,BottomLayer,SMMS0420,73.6854mm,51.3334mm,90,小功率贴片电感,73.6854mm,51.3334mm,73.6854mm,53.6114mm
L5,4.7uH,BottomLayer,SMMS0420,73.6854mm,32.0294mm,90,小功率贴片电感,73.6854mm,32.0294mm,73.6854mm,34.3074mm
L4,4.7uH,BottomLayer,SMMS0420,73.6854mm,12.9540mm,90,小功率贴片电感,73.6854mm,12.9540mm,73.6854mm,15.2320mm
L3,4.7uH,TopLayer,SMMS0420,28.1432mm,62.5522mm,270,小功率贴片电感,28.1432mm,62.5522mm,28.1432mm,60.2742mm
L2,10uH,TopLayer,SMMS0420,8.0692mm,45.2882mm,180,小功率贴片电感,8.0692mm,45.2882mm,5.7912mm,45.2882mm
L1,1.5uH,TopLayer,SMMS0420,28.1432mm,71.8994mm,270,小功率贴片电感,28.1432mm,71.8994mm,28.1432mm,69.6214mm
JP2,HDR-1X2,TopLayer,XH2.54-WS-2P,70.5250mm,13.4220mm,225,2P接插件,70.6120mm,13.3350mm,75.0180mm,10.6968mm
